Year,Item,Value
2010,"Rice, paddy",119530707
2010,Roots and tubers nes,11402893
2010,Safflower seed,1005
2010,Seed cotton,126238637
2010,Sesame seed,1623848
2010,Sorghum,3882945
2010,Soybeans,1807
2010,Sugar cane,41228840
2010,Sunflower seed,12628546
2010,"Walnuts, with shell",1625700
2010,Wheat,585101080
2010,"Wool, greasy",2044387
2011,"Almonds, with shell",4578945
2011,Apples,33893929
2011,Apricots,7170574
2011,Bananas,3116569
2011,Barley,1893313
2011,Castor oil seed,123468
2011,Dates,36800749
2011,"Eggs, hen, in shell",44969476
2011,Garlic,10435275
2011,Ginger,1415
2011,Grapes,3755268
2011,"Groundnuts, with shell",5026862
2011,Lemons and limes,2656752
2011,Lentils,628497
2011,Linseed,108098
2011,Maize,87561594
2011,"Mangoes, mangosteens, guavas",109116252
2011,"Meat indigenous, goat",133765317
2011,"Meat indigenous, sheep",26657596
2011,"Meat, goat",133765317
2011,"Meat, sheep",26657596
2011,"Melons, other (inc.cantaloupes)",1648303
2011,"Milk, whole fresh buffalo",698178621
2011,"Milk, whole fresh cow",392537281
2011,Millet,10457177
2011,"Onions, dry",12860592
2011,Oranges,35015085
2011,Peaches and nectarines,2693199
2011,Pears,482343
2011,"Peas, dry",1405015
2011,Plums and sloes,2983476
2011,Potatoes,60963047
2011,Pulses nes,8710066
2011,Rapeseed,6895982
2011,"Rice, paddy",196028333
2011,Roots and tubers nes,14601513
2011,Safflower seed,895
2011,Seed cotton,164393512
2011,Sesame seed,1862690
2011,Sorghum,4442722
2011,Soybeans,3718
2011,Sugar beet,867
2011,Sugar cane,59303433
2011,Sunflower seed,18502445
2011,"Walnuts, with shell",1822961
2011,Wheat,524365840
2011,"Wool, greasy",2439489
2012,"Almonds, with shell",4568239
2012,Apples,31451495
2012,Apricots,6748839
2012,Bananas,2160573
2012,Barley,1745008
2012,Castor oil seed,135389
2012,Dates,34602841
2012,"Eggs, hen, in shell",45919301
2012,Garlic,10805012
2012,Ginger,19964
2012,Grapes,3752956
2012,"Groundnuts, with shell",4645988
2012,Lemons and limes,2878270
2012,Lentils,523133
2012,Linseed,97509
2012,Maize,84935987
2012,"Mangoes, mangosteens, guavas",98254156
2012,"Meat indigenous, goat",136420989
2012,"Meat indigenous, sheep",27131844
2012,"Meat, goat",136420989
2012,"Meat, sheep",27131844
2012,"Melons, other (inc.cantaloupes)",1464094
2012,"Milk, whole fresh buffalo",718532859
2012,"Milk, whole fresh cow",406870902
2012,Millet,10685718
2012,"Onions, dry",22955952
2012,Oranges,37887741
2012,Peaches and nectarines,2751526
2012,Pears,474653
2012,"Peas, dry",905096
2012,Plums and sloes,2952304
2012,Potatoes,65749458
2012,Pulses nes,10159994
2012,Rapeseed,6322143
2012,"Rice, paddy",288351191
2012,Roots and tubers nes,14798612
2012,Safflower seed,920
2012,Seed cotton,401541758
2012,Sesame seed,1798639
2012,Sorghum,3974319
2012,Soybeans,2671
2012,Sugar beet,2814
2012,Sugar cane,200009725
2012,Sunflower seed,12929609
2012,"Walnuts, with shell",1879829
2012,Wheat,570990455
2012,"Wool, greasy",2465289
2013,"Almonds, with shell",5296948
2013,Apples,38143786
2013,Apricots,7477335
2013,Bananas,2878919
2013,Barley,1986808
2013,Castor oil seed,141360
2013,Dates,38680327
2013,"Eggs, hen, in shell",53724035
2013,Garlic,12716565
2013,Ginger,24390
2013,Grapes,4300948
2013,"Groundnuts, with shell",6409867
2013,Lemons and limes,3121740
2013,Lentils,523264
2013,Linseed,113536
2013,Maize,109975163
2013,"Mangoes, mangosteens, guavas",107220753
2013,"Meat indigenous, goat",324264180
2013,"Meat indigenous, sheep",38824753
2013,"Meat, goat",158662649
2013,"Meat, sheep",30581160
2013,"Melons, other (inc.cantaloupes)",1593207
2013,"Milk, whole fresh buffalo",1026479794
2013,"Milk, whole fresh cow",587545535
2013,Millet,11524332
2013,"Onions, dry",21335190
2013,Oranges,39319325
2013,Peaches and nectarines,3352914
2013,Pears,526660
2013,"Peas, dry",842262
2013,Plums and sloes,3259661
2013,Potatoes,78918340
2013,Pulses nes,11250652
2013,Rapeseed,8672807
2013,"Rice, paddy",504516630
2013,Roots and tubers nes,16623606
2013,Safflower seed,673
2013,Seed cotton,392862673
2013,Sesame seed,2224135
2013,Sorghum,4288128
2013,Soybeans,3020
2013,Sugar beet,3133
2013,Sugar cane,261407864
2013,Sunflower seed,12382739
2013,"Walnuts, with shell",1952378
2013,Wheat,703340008
2013,"Wool, greasy",2782907
2014,"Almonds, with shell",5419921
2014,Apples,40969971
2014,Apricots,7575010
2014,Bananas,3122668
2014,Barley,2073789
2014,Castor oil seed,93790
2014,Dates,41633589
2014,"Eggs, hen, in shell",59750406
2014,Garlic,14276259
2014,Ginger,26156
2014,Grapes,4524979
2014,"Groundnuts, with shell",5816906
2014,Lemons and limes,3357337
2014,Lentils,448766
2014,Linseed,108127
2014,Maize,122697166
2014,"Mangoes, mangosteens, guavas",113308061
2014,"Meat indigenous, goat",170207144
2014,"Meat indigenous, sheep",32473446
2014,"Meat, goat",170207144
2014,"Meat, sheep",32473446
2014,"Melons, other (inc.cantaloupes)",1141460
2014,"Milk, whole fresh buffalo",1115546703
2014,"Milk, whole fresh cow",643477551
2014,Millet,11900462
2014,"Onions, dry",33139556
2014,Oranges,47386032
2014,Peaches and nectarines,3882311
2014,Pears,504962
2014,"Peas, dry",868714
2014,Plums and sloes,3381902
2014,Potatoes,64671889
2014,Pulses nes,6439712
2014,Rapeseed,9147279
2014,"Rice, paddy",598214190
2014,Roots and tubers nes,17486669
2014,Safflower seed,649
2014,Seed cotton,511970068
2014,Sesame seed,2399774
2014,Sorghum,4362203
2014,Soybeans,3089
2014,Sugar beet,3306
2014,Sugar cane,188479374
2014,Sunflower seed,10370513
2014,"Walnuts, with shell",2095420
2014,Wheat,786526305
2014,"Wool, greasy",2970770
2015,"Almonds, with shell",5484583
2015,Apples,41267453
2015,Apricots,7692151
2015,Bananas,3107674
2015,Barley,1960453
2015,Castor oil seed,67333
2015,Dates,36294872
2015,"Eggs, hen, in shell",63068902
2015,Garlic,16180924
2015,Ginger,27019
2015,Grapes,4517927
2015,"Groundnuts, with shell",6159363
2015,Lemons and limes,3772687
2015,Lentils,498202
2015,Linseed,97962
2015,Maize,137427435
2015,"Mangoes, mangosteens, guavas",116073045
2015,"Meat indigenous, goat",174823519
2015,"Meat indigenous, sheep",32908941
2015,"Meat, goat",174823519
2015,"Meat, sheep",32908941
2015,"Melons, other (inc.cantaloupes)",677946
2015,"Milk, whole fresh buffalo",1150051414
2015,"Milk, whole fresh cow",644250368
2015,Millet,12123347
2015,"Onions, dry",29354563
2015,Oranges,49815091
2015,Peaches and nectarines,4117310
2015,Pears,492403
2015,"Peas, dry",888692
2015,Plums and sloes,3406540
2015,Potatoes,94394083
2015,Pulses nes,9954794
2015,Rapeseed,8794677
2015,"Rice, paddy",356809354
2015,Roots and tubers nes,17475151
2015,Safflower seed,680
2015,Seed cotton,291817106
2015,Sesame seed,2305019
2015,Sorghum,6114206
2015,Soybeans,1080
2015,Sugar beet,43034
2015,Sugar cane,270114628
2015,Sunflower seed,9069634
2015,"Walnuts, with shell",3082475
2015,Wheat,740669287
2015,"Wool, greasy",3008061
2016,"Almonds, with shell",5755148
2016,Apples,47690238
2016,Apricots,7899434
2016,Bananas,3793838
2016,Barley,2024994
2016,Castor oil seed,70162
2016,Dates,36459617
2016,"Eggs, hen, in shell",71210795
2016,Garlic,16830217
2016,Ginger,29588
2016,Grapes,4860145
2016,"Groundnuts, with shell",5117844
2016,Lemons and limes,3476148
2016,Lentils,467088
2016,Linseed,107206
2016,Maize,168192059
2016,"Mangoes, mangosteens, guavas",121679083
2016,"Meat indigenous, goat",192437966
2016,"Meat indigenous, sheep",35649025
2016,"Meat, goat",192437966
2016,"Meat, sheep",35649025
2016,"Melons, other (inc.cantaloupes)",71506
2016,"Milk, whole fresh buffalo",1204199718
2016,"Milk, whole fresh cow",705420807
2016,Millet,13203683
2016,"Onions, dry",39774717
2016,Oranges,52368261
2016,Peaches and nectarines,4462408
2016,Pears,523330
2016,"Peas, dry",920345
2016,Plums and sloes,3060874
2016,Potatoes,97649300
2016,Pulses nes,10107977
2016,Rapeseed,8913449
2016,"Rice, paddy",207534154
2016,Roots and tubers nes,15545895
2016,Safflower seed,695
2016,Seed cotton,366601340
2016,Sesame seed,2642248
2016,Sorghum,6052857
2016,Soybeans,2102
2016,Sugar beet,58327
2016,Sugar cane,311364294
2016,Sunflower seed,4952260
2016,"Walnuts, with shell",3059116
2016,Wheat,768990840
2016,"Wool, greasy",3255824
2017,"Almonds, with shell",6161481
2017,Apples,42452270
2017,Apricots,7125470
2017,Bananas,4090180
2017,Barley,2050551
2017,Castor oil seed,74094
2017,Dates,38644319
2017,"Eggs, hen, in shell",79358518
2017,Garlic,18794900
2017,Ginger,31011
2017,Grapes,5194658
2017,"Groundnuts, with shell",6534899
2017,Lemons and limes,3514714
2017,Lentils,423191
2017,Linseed,107834
2017,Maize,179352248
2017,"Mangoes, mangosteens, guavas",138774667
2017,"Meat indigenous, goat",289869752
2017,"Meat indigenous, sheep",52884350
2017,"Meat, goat",289869752
2017,"Meat, sheep",52884350
2017,"Melons, other (inc.cantaloupes)",76939
2017,"Milk, whole fresh buffalo",1309483543
2017,"Milk, whole fresh cow",773021875
2017,Millet,15512310
2017,"Onions, dry",60082071
2017,Oranges,53533813
2017,Peaches and nectarines,4771447
2017,Pears,534984
2017,"Peas, dry",925872
2017,Plums and sloes,3271847
2017,Potatoes,105460176
2017,Pulses nes,6056107
2017,Rapeseed,9215549
2017,"Rice, paddy",238379275
2017,Roots and tubers nes,16439582
2017,Safflower seed,455
2017,Seed cotton,451458817
2017,Sesame seed,2880996
2017,Sorghum,6576779
2017,Soybeans,1054
2017,Sugar beet,76648
2017,Sugar cane,363008249
2017,Sunflower seed,6465409
2017,"Walnuts, with shell",3353156
2017,Wheat,1048150695
2017,"Wool, greasy",3483993
2018,"Almonds, with shell",5995759
2018,Apples,43257621
2018,Apricots,5746527
2018,Bananas,4253764
2018,Barley,2060858
2018,Castor oil seed,69583
2018,Dates,41495082
2018,"Eggs, hen, in shell",88685461
2018,Garlic,21528084
2018,Ginger,4973
2018,Grapes,5619942
2018,"Groundnuts, with shell",7823654
2018,Lemons and limes,3039497
2018,Lentils,425158
2018,Linseed,112383
2018,Maize,201612799
2018,"Mangoes, mangosteens, guavas",146145982
2018,"Meat indigenous, goat",315381752
2018,"Meat indigenous, sheep",56410823
2018,"Meat, goat",315381752
2018,"Meat, sheep",56685475
2018,"Melons, other (inc.cantaloupes)",84599
2018,"Milk, whole fresh buffalo",1416770106
2018,"Milk, whole fresh cow",893733267
2018,Millet,16947404
2018,"Onions, dry",52420479
2018,Oranges,56878701
2018,Peaches and nectarines,6115998
2018,Pears,556141
2018,"Peas, dry",938079
2018,Plums and sloes,3558328
2018,Potatoes,135007209
2018,Pulses nes,280919
2018,Rapeseed,12964724
2018,"Rice, paddy",162606492
2018,Roots and tubers nes,17030234
2018,Seed cotton,385598983
2018,Sesame seed,3095791
2018,Sorghum,6780072
2018,Soybeans,1645
2018,Sugar beet,89772
2018,Sugar cane,309713673
2018,Sunflower seed,9471000
2018,"Walnuts, with shell",3695510
2018,Wheat,1023231860
2018,"Wool, greasy",3687050
2019,"Almonds, with shell",4590711
2019,Apples,34577267
2019,Apricots,4386874
2019,Bananas,4582997
2019,Barley,2278048
2019,Castor oil seed,48967
2019,Dates,43230008
2019,"Eggs, hen, in shell",83058860
2019,Garlic,19983429
2019,Ginger,1980
2019,Grapes,5315081
2019,"Groundnuts, with shell",8096982
2019,Lemons and limes,3784670
2019,Lentils,383708
2019,Linseed,79979
2019,Maize,295081349
2019,"Mangoes, mangosteens, guavas",155219846
2019,"Meat indigenous, goat",239304954
2019,"Meat indigenous, sheep",45163700
2019,"Meat, goat",239304954
2019,"Meat, sheep",45170260
2019,"Melons, other (inc.cantaloupes)",60998
2019,"Milk, whole fresh buffalo",1231371835
2019,"Milk, whole fresh cow",738244511
2019,Millet,16465371
2019,"Onions, dry",50769743
2019,Oranges,44263881
2019,Peaches and nectarines,5946853
2019,Pears,411954
2019,"Peas, dry",921846
2019,Plums and sloes,3371797
2019,Potatoes,145987809
2019,Pulses nes,290605
2019,Rapeseed,17185922
2019,"Rice, paddy",166980991
2019,Roots and tubers nes,13709965
2019,Seed cotton,396111633
2019,Sesame seed,6083072
2019,Sorghum,5961840
2019,Soybeans,953
2019,Sugar beet,125133
2019,Sugar cane,311936602
2019,Sunflower seed,9361833
2019,"Walnuts, with shell",2921953
2019,Wheat,931445526
2019,"Wool, greasy",3131076
2020,"Almonds, with shell",4013608
2020,Apples,30842002
2020,Apricots,4357792
2020,Bananas,5468981
2020,Barley,2192597
2020,Castor oil seed,95077
2020,Dates,38966501
2020,"Eggs, hen, in shell",85479186
2020,Garlic,21435813
2020,Ginger,637
2020,Grapes,4993085
2020,"Groundnuts, with shell",11101236
2020,Lemons and limes,3650748
2020,Lentils,299035
2020,Linseed,68747
2020,Maize,388733447
2020,"Mangoes, mangosteens, guavas",173737462
2020,"Meat indigenous, goat",215388148
2020,"Meat indigenous, sheep",41832939
2020,"Meat, goat",215388576
2020,"Meat, sheep",41835168
2020,"Melons, other (inc.cantaloupes)",58962
2020,"Milk, whole fresh buffalo",1164926273
2020,"Milk, whole fresh cow",703783563
2020,Millet,11144647
2020,"Onions, dry",54108372
2020,Oranges,40206013
2020,Peaches and nectarines,5250626
2020,Pears,364372
2020,"Peas, dry",700858
2020,Plums and sloes,3303314
2020,Potatoes,135782440
2020,Pulses nes,1133526
2020,Rapeseed,28147587
2020,"Rice, paddy",189942644
2020,Roots and tubers nes,11377573
2020,Seed cotton,342041714
2020,Sesame seed,11454780
2020,Sorghum,8036213
2020,Soybeans,10697
2020,Sugar beet,59746
2020,Sugar cane,432294507
2020,Sunflower seed,11255887
2020,"Walnuts, with shell",2660390
2020,Wheat,950975625
2020,"Wool, greasy",3050340
